[1, 'Сокольническая', 1, 'Бульвар Рокоссовского', '55.8148', '37.7342']
[4, 'Филевская', 79, 'Александровский сад', '55.7525', '37.6085', 78]
[5, 'Кольцевая', 80, 'Парк культуры', '55.7357', '37.5915', 91]
[5, 'Кольцевая', 81, 'Октябрьская', '55.7297', '37.6091', 80]
[5, 'Кольцевая', 82, 'Добрынинская', '55.7291', '37.6243', 81]
[5, 'Кольцевая', 83, 'Павелецкая', '55.7318', '37.6379', 82]
[5, 'Кольцевая', 84, 'Таганская', '55.7418', '37.6517', 83]
[5, 'Кольцевая', 85, 'Курская', '55.7570', '37.6595', 84]
[5, 'Кольцевая', 86, 'Комсомольская', '55.7748', '37.6549', 85]
[5, 'Кольцевая', 87, 'Проспект Мира', '55.7798', '37.6318', 86]
[5, 'Кольцевая', 88, 'Новослободская', '55.7799', '37.6028', 87]
[5, 'Кольцевая', 89, 'Белорусская', '55.7764', '37.5844', 88]
[5, 'Кольцевая', 90, 'Краснопресненская', '55.7613', '37.5774', 89]
[5, 'Кольцевая', 91, 'Киевская', '55.7446', '37.5644', 90]
[6, 'Калужско-Рижская', 92, 'Медведково', '55.8872', '37.6613']
[6, 'Калужско-Рижская', 93, 'Бабушкинская', '55.8694', '37.6644', 92]
[6, 'Калужско-Рижская', 94, 'Свиблово', '55.8552', '37.6527', 93]
[6, 'Калужско-Рижская', 95, 'Ботанический сад', '55.8449', '37.6383', 94]
[6, 'Калужско-Рижская', 96, 'ВДНХ', '55.8211', '37.6411', 95]
[6, 'Калужско-Рижская', 97, 'Алексеевская', '55.8088', '37.6390', 96]
[6, 'Калужско-Рижская', 98, 'Рижская', '55.7936', '37.6362', 97]
[6, 'Калужско-Рижская', 99, 'Проспект Мира', '55.7812', '37.6318', 98]
[6, 'Калужско-Рижская', 100, 'Сухаревская', '55.7733', '37.6319', 99]
[6, 'Калужско-Рижская', 101, 'Тургеневская', '55.7661', '37.6374', 100]
[6, 'Калужско-Рижская', 102, 'Китай-город', '55.7553', '37.6333', 101]
[6, 'Калужско-Рижская', 103, 'Третьяковская', '55.7412', '37.6274', 102]
[6, 'Калужско-Рижская', 104, 'Октябрьская', '55.7306', '37.6112', 103]
[6, 'Калужско-Рижская', 105, 'Шаболовская', '55.7198', '37.6083', 104]
[6, 'Калужско-Рижская', 106, 'Ленинский проспект', '55.7077', '37.5861', 105]
